GeneSymbol,gene_expression
TSPAN6,3.3641603875007373
TNMD,0.06974779382223054
DPM1,6.497022651349645
SCYL3,2.365832693709622
C1orf112,3.672954860586481
FGR,0.44542427424264974
CFH,2.1658496367694906
FUCA2,5.140384361643502
GCLC,4.637849102808815
NFYA,4.046764125432328
STPG1,2.4709384119629085
NIPAL3,3.6355835671257664
LAS1L,5.3147487017068125
ENPP4,1.9378828506278365
SEMA3F,2.4642186572682343
CFTR,0.5365789058284701
ANKIB1,4.248706609658788
CYP51A1,5.429691227304326
KRIT1,4.708959983229257
RAD52,3.3007905444099
BAD,5.5459700328810335
LAP3,5.650839260088607
CD99,6.920159927505541
HS3ST1,0.7765401381735914
AOC1,0.670693489857822
WNT16,0.33604291184674207
HECW1,0.7907130836892818
MAD1L1,4.444088819960782
LASP1,6.560364440974496
SNX11,3.8715736318204765
TMEM176A,0.7913225581823007
M6PR,6.652638683748872
KLHL13,1.706668005643322
CYP26B1,1.3568426026252132
ICA1,2.8457817821006604
DBNDD1,3.127079239458178
ALS2,4.029660441116532
CASP10,1.5810495772487025
CFLAR,4.750256001660596
TFPI,3.395515948846612
NDUFAF7,3.7390033742565647
RBM5,5.924619411343596
MTMR7,0.8024808718130555
SLC7A2,1.5530701016010318
ARF5,7.123886796679423
SARM1,2.2531220323340753
POLDIP2,5.842158923941404
PLXND1,4.463674353394427
AK2,7.450991534235064
CD38,0.7805345298126454
FKBP4,5.998280152819632
KDM1A,5.943264373214868
RBM6,5.3495343679795235
CAMKK1,2.0820299137968146
RECQL,5.083687870482587
VPS50,3.500023805450761
HSPB6,0.9154890482260597
ARHGAP33,3.006936455053543
NDUFAB1,7.297492296233253
PDK4,0.9502063683872529
SLC22A16,0.20135473686186514
ZMYND10,0.9104628200347992
ABCB5,0.26622133670047643
ARX,0.2124134506335194
SLC25A13,4.335817025363744
ST7,4.010252652170969
CDC27,5.286379007113299
SLC4A1,0.06779428248351553
CALCR,0.1151749669447502
HCCS,4.717091617272896
DVL2,4.7022918479820595
PRSS22,1.8473063462618264
UPF1,4.869462212647516
SKAP2,3.8982322600433887
SLC25A5,8.736988152941029
MCUB,3.3196528149168114
HOXA11,1.1705831440076984
POLR2J,6.510511848210763
DHX33,3.7957717030765963
MEOX1,0.3698973075775856
THSD7A,0.4977871435753231
LIG3,3.933501830672083
RPAP3,4.616202321337346
ACSM3,1.5224122722636104
REXO5,2.8532408491600183
CIAPIN1,5.488471861422829
SPPL2B,4.686825183084848
FAM214B,3.0517973381054704
COPZ2,2.701175531599126
PRKAR2B,1.9909371045913025
MSL3,3.979777803380713
CREBBP,3.877715930287261
TSPOAP1,1.3488713338410643
MPO,0.4297720800230431
PON1,0.16982548325152766
GCFC2,3.5239336171455933
WDR54,4.874637088430674
CROT,3.093248000285982
ABCB4,0.54500125377343
KMT2E,4.291685949467532
RHBDD2,5.356446721524971
SOX8,0.5802749197525222
IBTK,4.24118006577683
ZNF195,4.079098983179624
