GeneSymbol,Subcellular_location
OR7A10,Cell membrane
ORC5,Nucleus
ZNF596,Nucleus
SFI1,Cytoplasm
SUCNR1,Cell membrane
ELK3,Nucleus
CPEB3,Cytoplasm
SGK2,Cytoplasm
CORO1C,Cell membrane
PPP3CA,Cytoplasm
ZNF614,Nucleus
TTYH3,Cell membrane
ATF1,Nucleus
ETV4,Nucleus
STK36,Cytoplasm
TBPL1,Cytoplasm
RSPH3,Cytoplasm
POLM,Nucleus
PLA2G6,Cytoplasm
UACA,Nucleus
OR8A1,Cell membrane
ZNF593,Nucleus
LRRC14,Cytoplasm
MRGPRF,Cell membrane
SLCO1A2,Cell membrane
NPIPA1,Nucleus
DYRK1A,Nucleus
CTNNBL1,Cytoplasm
ZNF615,Nucleus
SNAPC3,Nucleus
FKBP1B,Cytoplasm
RNF25,Cytoplasm
FAM120B,Nucleus
ADRA2A,Cell membrane
ZFP36L1,Nucleus
ZNF205,Nucleus
BLZF1,Cytoplasm
MAPK1,Cytoplasm
SEPHS1,Cytoplasm
NDUFAF6,Cytoplasm
ABCB4,Cell membrane
USP10,Cytoplasm
FAP,Cytoplasm
ZNF257,Nucleus
TFR2,Cytoplasm
CEP83,Cytoplasm
TRAIP,Nucleus
TYMS,Nucleus
HOXC5,Nucleus
VGLL3,Nucleus
ZNF223,Nucleus
ZNF787,Nucleus
RP2,Cell membrane
TSEN15,Nucleus
CARM1,Nucleus
PKD1L3,Cell membrane
PCNA,Nucleus
RAX2,Nucleus
GLYR1,Nucleus
CEBPA,Nucleus
BUB3,Nucleus
SPRY1,Cytoplasm
YWHAZ,Cytoplasm
PHACTR4,Cytoplasm
KLF2,Nucleus
SH3BGRL,Cytoplasm
LYSMD3,Cell membrane
ABCF1,Cytoplasm
SHOX,Nucleus
ITGB3BP,Cytoplasm
PCDHGA3,Cell membrane
H1-4,Nucleus
ASAP2,Cytoplasm
GIPC1,Cytoplasm
HHIP,Cytoplasm
WHRN,Cytoplasm
ETV3,Nucleus
ADRB2,Cell membrane
TUBB,Cytoplasm
IRF9,Cytoplasm
GPR21,Cell membrane
CCDC66,Cytoplasm
ALPL,Cell membrane
NWD1,Cytoplasm
NCMAP,Cell membrane
PNMA1,Nucleus
SOX5,Nucleus
ZNF619,Nucleus
RAB3GAP2,Cytoplasm
AIM2,Cytoplasm
SSRP1,Nucleus
RRN3,Nucleus
TDP2,Cytoplasm
GRIA1,Cell membrane
E2F4,Nucleus
SPN,Nucleus
ZMIZ1,Nucleus
ZSWIM8,Cytoplasm
CENPB,Nucleus
IFIT3,Cytoplasm
CENPM,Nucleus
NUP88,Nucleus
THAP1,Nucleus
OR2M7,Cell membrane
MTMR1,Cell membrane
PAK2,Nucleus
PDCD6IP,Cytoplasm
PPARG,Nucleus
KMT2C,Nucleus
LORICRIN,Cytoplasm
MEX3B,Nucleus
RNF220,Cytoplasm
PIP4K2A,Cell membrane
PGD,Cytoplasm
SCN11A,Cell membrane
INO80C,Nucleus
SGO2,Nucleus
EMSY,Nucleus
OR10A6,Cell membrane
ZFP30,Nucleus
ZBTB48,Nucleus
ROS1,Cell membrane
POLR3D,Nucleus
POLR3G,Nucleus
RPL23,Cytoplasm
NPY4R,Cell membrane
ZNF716,Nucleus
ZNF236,Nucleus
ZAP70,Cytoplasm
PCDH7,Cell membrane
ESRP2,Nucleus
GARS1,Cytoplasm
ZPR1,Nucleus
NDE1,Cytoplasm
SP6,Nucleus
NECTIN3,Cell membrane
ASB10,Cytoplasm
P2RY2,Cell membrane
OR5AS1,Cell membrane
SPTBN4,Cytoplasm
COPS4,Cytoplasm
ZMAT3,Nucleus
ACTA2,Cytoplasm
MAP1A,Cytoplasm
POU3F3,Nucleus
PSME3IP1,Nucleus
SLC6A19,Cell membrane
MBD2,Nucleus
ETV2,Nucleus
APRT,Cytoplasm
CARD9,Cytoplasm
MED9,Nucleus
CENPF,Cytoplasm
EPB41,Cytoplasm
ZNF449,Nucleus
CCT3,Cytoplasm
SCNM1,Nucleus
CEBPZ,Nucleus
ZNF330,Nucleus
RPL38,Cytoplasm
GATA4,Nucleus
PPP1CB,Cytoplasm
CCNA1,Nucleus
PANK2,Cytoplasm
NCF4,Cytoplasm
RANGAP1,Cytoplasm
VAX1,Nucleus
PLVAP,Cell membrane
LAX1,Cell membrane
ADCY6,Cell membrane
PRXL2B,Cytoplasm
ING3,Nucleus
S100A13,Cytoplasm
AP2S1,Cell membrane
EML6,Cytoplasm
AGTPBP1,Cytoplasm
KRAS,Cell membrane
DNM2,Cytoplasm
L3MBTL4,Nucleus
ELMO2,Cytoplasm
OR1L3,Cell membrane
TRIB2,Cytoplasm
CDX4,Nucleus
USP17L10,Nucleus
DAB2IP,Cytoplasm
ARHGEF39,Cell membrane
LRRC10,Nucleus
SBDS,Cytoplasm
H2BC13,Nucleus
HAUS7,Cytoplasm
GNL2,Nucleus
CD300LF,Cell membrane
USPL1,Nucleus
NR3C2,Cytoplasm
WAS,Cytoplasm
SLC2A9,Cell membrane
RPS3,Cytoplasm
ACSBG1,Cytoplasm
FKBP1A,Cytoplasm
ASPM,Cytoplasm
ZNF627,Nucleus
SCML1,Nucleus
ADGRL3,Cell membrane
ALDH1A3,Cytoplasm
TMEM120A,Cell membrane
FLNB,Cytoplasm
CFAP74,Cytoplasm
HERC4,Cytoplasm
RPS21,Cytoplasm
NKRF,Nucleus
BCL6B,Nucleus
OR2T3,Cell membrane
UBE4B,Cytoplasm
TDP1,Nucleus
EDC3,Cytoplasm
ZNF562,Nucleus
GLI1,Cytoplasm
SLC2A12,Cell membrane
PCDH11Y,Cell membrane
ZFP3,Nucleus
TAF7,Nucleus
SLX4,Nucleus
PCBP1,Nucleus
TOP2B,Nucleus
UHRF1,Nucleus
NCR3LG1,Cell membrane
OR6J1,Cell membrane
IGHE,Cell membrane
RPL41,Cytoplasm
NFIA,Nucleus
POP1,Nucleus
RPS8,Cytoplasm
SPATA13,Cytoplasm
MKS1,Cytoplasm
API5,Cytoplasm
SRI,Cytoplasm
MAP3K14,Cytoplasm
ZNF846,Nucleus
PRR13,Nucleus
UBQLN2,Cytoplasm
WDR4,Nucleus
CDCA3,Cytoplasm
ZNF253,Nucleus
PAG1,Cell membrane
NAA15,Cytoplasm
NSMCE3,Cytoplasm
OR56B1,Cell membrane
WASF2,Cytoplasm
GTF2H2,Nucleus
CCR4,Cell membrane
DNAJC21,Cytoplasm
FGF12,Nucleus
LCOR,Nucleus
PLCL1,Cytoplasm
RAD23B,Nucleus
SYNPO2,Cytoplasm
OR3A3,Cell membrane
ZBTB8B,Nucleus
SMUG1,Nucleus
NOTCH2,Nucleus
CAPRIN1,Cytoplasm
CNOT10,Cytoplasm
SPO11,Nucleus
ATF4,Nucleus
DHX15,Nucleus
PTPN20,Nucleus
DYM,Cytoplasm
ZNF282,Nucleus
RAB3C,Cell membrane
H2BC14,Nucleus
FBXW8,Cytoplasm
KCNE2,Cell membrane
VSX1,Nucleus
OR2T1,Cell membrane
PPIAL4A,Cytoplasm
PPHLN1,Nucleus
PTP4A2,Cell membrane
H4C5,Nucleus
GNG3,Cell membrane
RNF123,Cytoplasm
PAXX,Cytoplasm
TBCB,Cytoplasm
FARSB,Cytoplasm
RPL7,Cytoplasm
OR5H15,Cell membrane
SPRED3,Cell membrane
PNKP,Nucleus
JDP2,Nucleus
PRPF8,Nucleus
CSNK1G1,Cytoplasm
TMUB1,Cytoplasm
TMSB10,Cytoplasm
STK10,Cell membrane
CRYAA,Cytoplasm
H2BC26,Nucleus
THEM4,Cell membrane
FPR2,Cell membrane
FOXK2,Nucleus
ZNF688,Nucleus
MED29,Nucleus
TOPBP1,Nucleus
DDR1,Cell membrane
KIAA1217,Cytoplasm
ZNF621,Nucleus
OR5B3,Cell membrane
OR2AE1,Cell membrane
TREH,Cell membrane
ZNF395,Cytoplasm
ZMYM3,Nucleus
PTCH1,Cell membrane
TENM2,Nucleus
GINS1,Nucleus
ARFGAP1,Cytoplasm
SMARCC1,Nucleus
SPATA24,Cytoplasm
ZNF510,Nucleus
SLC6A6,Cell membrane
HNF4A,Nucleus
GSKIP,Cytoplasm
MYOZ3,Cytoplasm
LRP8,Cell membrane
ZNF491,Nucleus
ITPKB,Cytoplasm
RPS27A,Cytoplasm
SYCP2,Nucleus
GRIN3A,Cell membrane
PPP5C,Nucleus
PLEKHA1,Cytoplasm
OR13J1,Cell membrane
ADGRL4,Cell membrane
VASP,Cytoplasm
C10orf88,Cytoplasm
HCN2,Cell membrane
PSMA6,Cytoplasm
NANOS2,Cytoplasm
JADE1,Nucleus
RPS6KA4,Nucleus
EPN2,Cytoplasm
CHAF1A,Nucleus
SMAD4,Cytoplasm
ZFPM1,Nucleus
SOX12,Nucleus
RBM4B,Nucleus
SH3RF2,Nucleus
DNAJC7,Cytoplasm
IPO11,Cytoplasm
SH3RF1,Cytoplasm
FER,Cytoplasm
OR2V2,Cell membrane
RASGRP2,Cytoplasm
DNAH1,Cytoplasm
OGFOD1,Cytoplasm
PIMREG,Nucleus
CSTPP1,Cytoplasm
TRIM25,Cytoplasm
HDAC6,Cytoplasm
JUNB,Nucleus
SPRR4,Cytoplasm
CD1B,Cell membrane
OR8H3,Cell membrane
PPARGC1A,Nucleus
MID1,Cytoplasm
MICAL1,Cytoplasm
GMPS,Cytoplasm
MYC,Nucleus
NKD1,Cell membrane
CLEC6A,Cell membrane
XRCC1,Nucleus
POU2F2,Cytoplasm
SPANXA1,Cytoplasm
KSR1,Cytoplasm
NOD2,Cytoplasm
AKT2,Cytoplasm
OR4K2,Cell membrane
MCRIP1,Nucleus
FOXJ3,Nucleus
SP4,Nucleus
RASIP1,Cytoplasm
CCNDBP1,Cytoplasm
VEPH1,Cell membrane
CHD7,Nucleus
PPP1R16A,Cell membrane
ZNF671,Nucleus
MX1,Cytoplasm
PASD1,Nucleus
ZNF433,Nucleus
NRBF2,Nucleus
TRIM36,Cytoplasm
NLGN4Y,Cell membrane
OR51A4,Cell membrane
MBD6,Nucleus
MYH15,Cytoplasm
NSRP1,Nucleus
SUDS3,Nucleus
CBR1,Cytoplasm
CKAP5,Cytoplasm
SLC46A1,Cell membrane
NFAM1,Cell membrane
RELA,Nucleus
ZSCAN5A,Nucleus
SLC2A4,Cell membrane
ABCA8,Cell membrane
OR6S1,Cell membrane
CEP95,Cytoplasm
IRX3,Nucleus
SS18L1,Nucleus
CDK6,Cytoplasm
GADD45A,Nucleus
TCP1,Cytoplasm
OR14J1,Cell membrane
KIF13B,Cytoplasm
FCGR3A,Cell membrane
IFI44,Cytoplasm
FAM53A,Nucleus
ARFGEF1,Cytoplasm
ECSIT,Cytoplasm
ZNF512B,Nucleus
PPP1CA,Cytoplasm
PLPPR1,Cell membrane
ZNF571,Nucleus
MYH8,Cytoplasm
ASCC3,Nucleus
YY1AP1,Cytoplasm
CD300C,Cell membrane
CXXC5,Nucleus
TLK1,Nucleus
CNKSR3,Cytoplasm
FAM161A,Cytoplasm
GNMT,Cytoplasm
APOBEC3F,Cytoplasm
TCF20,Nucleus
INSM2,Cytoplasm
TET3,Nucleus
LARS1,Cytoplasm
CCR5,Cell membrane
SLC2A14,Cell membrane
TULP3,Nucleus
SLC6A4,Cell membrane
TRMT2A,Cytoplasm
SLC24A1,Cell membrane
GATA5,Nucleus
DEF6,Cytoplasm
CDK5RAP2,Cytoplasm
TOX3,Nucleus
RHEX,Cell membrane
APOL6,Cytoplasm
OR4C15,Cell membrane
OR10G7,Cell membrane
NOSTRIN,Nucleus
TEC,Cytoplasm
TNIP1,Cytoplasm
TCHP,Cytoplasm
NOTCH4,Nucleus
CPM,Cell membrane
CNTN6,Cell membrane
PCNT,Cytoplasm
AGAP2,Cytoplasm
TGFBR3L,Cell membrane
KHSRP,Nucleus
CASP14,Cytoplasm
SLC39A6,Cell membrane
CEBPD,Nucleus
GCHFR,Nucleus
CACNG1,Cell membrane
ARHGAP4,Cytoplasm
CCR9,Cell membrane
CAPN6,Cytoplasm
XRCC2,Nucleus
DBR1,Nucleus
ZNF704,Nucleus
BIRC3,Cytoplasm
PRKAR1A,Cell membrane
SMAD5,Cytoplasm
KRT17,Cytoplasm
ZNF106,Nucleus
SYAP1,Cytoplasm
ADAR,Cytoplasm
ZFYVE26,Cytoplasm
BRIP1,Nucleus
IL18RAP,Cell membrane
ZNF426,Nucleus
RPL29,Cytoplasm
SMC1B,Nucleus
ARID1B,Nucleus
ING2,Nucleus
CFAP52,Cytoplasm
HSPBAP1,Cytoplasm
SSTR1,Cell membrane
SCAF4,Nucleus
ZNG1F,Nucleus
RPA2,Nucleus
EVL,Cytoplasm
MTMR4,Cytoplasm
CD59,Cell membrane
RPRM,Cytoplasm
CDYL2,Nucleus
PLA2G4E,Cytoplasm
HMGA2,Nucleus
ELAC1,Cytoplasm
PRPF19,Nucleus
OR4C5,Cell membrane
NUF2,Nucleus
PROSER3,Cytoplasm
ARK2C,Nucleus
RFLNB,Cytoplasm
TXNL4B,Nucleus
GRB2,Nucleus
MYOZ1,Nucleus
MTPN,Cytoplasm
CXXC4,Cytoplasm
CDCA5,Nucleus
TCEAL8,Nucleus
TRBV11-1,Cell membrane
CAVIN2,Cytoplasm
NMD3,Cytoplasm
PCDHA11,Cell membrane
LDLR,Cell membrane
ZNF526,Nucleus
RSF1,Nucleus
OR10D3,Cell membrane
PCDH17,Cell membrane
TAF4B,Nucleus
CTNND2,Nucleus
GRAP2,Nucleus
SNCB,Cytoplasm
TUBB4B,Cytoplasm
MNAT1,Nucleus
ORC1,Nucleus
PHC2,Nucleus
NUFIP2,Nucleus
HOXB13,Nucleus
HOXD12,Nucleus
GTF2E1,Nucleus
SCN2A,Cell membrane
CSNK2A1,Nucleus
TREML2,Cell membrane
UNC80,Cell membrane
NLRP8,Cytoplasm
PPIL1,Nucleus
TET2,Nucleus
TSNAXIP1,Cytoplasm
PAXBP1,Nucleus
NOPCHAP1,Nucleus
ERVK-16,Cytoplasm
TAFA2,Cytoplasm
IGF2BP1,Nucleus
