GeneSymbol,Conservation
A1BG,0.06276105894109
NAT2,0.118469311052481
ADA,0.253068531818557
CDH2,0.694619810835558
GAGE12F,0.088745957456104
LINC02584,0.00425616617250034
POU5F1P5,0.550759878419453
ZBTB11-AS1,0.81468189233279
MED6,0.579964929913589
NR2E3,0.394864071760682
VN2R19P,0.243156573393246
DUXB,0.0904696509786614
SNORD116-1,0.626315789473684
SNORD116-2,0.563157894736842
SNORD116-3,0.545263157894737
SNORD116-4,0.547916666666667
SNORD116-5,0.597894736842105
SNORD116-6,0.53125
SNORD116-7,0.583157894736842
SNORD116-8,0.618947368421053
SNORD116-9,0.558947368421053
SNORD116-10,0.106862745098039
SNORD116-11,0.479347826086956
SNORD116-12,0.505434782608696
SNORD116-13,0.490217391304348
SNORD116-14,0.58804347826087
SNORD116-15,0.569565217391304
SNORD116-16,0.596739130434783
SNORD116-17,0.571739130434783
SNORD116-18,0.569565217391304
SNORD116-20,0.318031518221472
SNORD116-21,0.518478260869565
SNORD116-22,0.525
SNORD116-23,0.557608695652174
SNORD116-24,0.48695652173913
SNORD116-25,0.0510869565217391
SNORD115-2,0.0109756097560976
SNORD116-26,0.00833333333333333
SNORD116-27,0.0695652173913043
SNORD115-3,0.139024390243902
SNORD115-4,0.146341463414634
SNORD115-5,0.0829268292682927
SNORD115-6,0.0402439024390244
SNORD115-7,0.401219512195122
SNORD115-8,0.0585365853658537
SNORD115-9,0
SNORD115-10,0.114814814814815
SNORD115-11,0.0682926829268293
SNORD115-12,0.0658536585365854
SNORD115-13,0.25609756097561
SNORD115-14,0.154320987654321
SNORD115-15,0.27283950617284
SNORD115-16,0.0378048780487805
SNORD115-17,0.180487804878049
SNORD115-18,0.191463414634146
SNORD115-19,0.103658536585366
SNORD115-20,0.0548780487804878
SNORD115-21,0.169135802469136
SNORD115-22,0.354878048780488
SNORD115-23,0.596341463414634
SNORD115-25,0.125609756097561
SNORD115-26,0.00365853658536585
SNORD115-29,0.34390243902439
SNORD115-30,0.0560975609756098
SNORD115-31,0.0158536585365854
