,Symbol,Description,Category,UniProt ID,GIFtS,GC id,Score
0,HADHA,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha,Protein Coding,P40939,53,GC02M026190,109.72
1,PROS1,Protein S,Protein Coding,P07225,56,GC03M093873,85.4
2,PROC,"Protein C, Inactivator Of Coagulation Factors Va And VIIIa",Protein Coding,P04070,58,GC02P127418,83.6
3,HADHB,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta,Protein Coding,P55084,53,GC02P026243,81.48
4,GAREM2,GRB2 Associated Regulator Of MAPK1 Subtype 2,Protein Coding,Q75VX8,38,GC02P026227,76.18
5,F5,Coagulation Factor V,Protein Coding,P12259,54,GC01M169511,73.93
6,TP53,Tumor Protein P53,Protein Coding,P04637,60,GC17M007661,68.36
7,HSD17B4,Hydroxysteroid 17-Beta Dehydrogenase 4,Protein Coding,P51659,53,GC05P119452,65.81
8,PSAP,Prosaposin,Protein Coding,P07602,55,GC10M071816,63.22
9,SLC7A7,Solute Carrier Family 7 Member 7,Protein Coding,Q9UM01,53,GC14M022773,60.32
10,APP,Amyloid Beta Precursor Protein,Protein Coding,P05067,58,GC21M025880,53.94
11,MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,60,GC22M021759,47.35
12,PRNP,Prion Protein,Protein Coding,F7VJQ1,55,GC20P004686,46.18
13,TNF,Tumor Necrosis Factor,Protein Coding,P01375,58,GC06P104098,45.05
14,CRP,C-Reactive Protein,Protein Coding,P02741,52,GC01M159732,44.26
15,AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,60,GC14M104769,43.4
16,GATA1,GATA Binding Protein 1,Protein Coding,P15976,53,GC0XP048786,41.64
17,MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,57,GC06P104232,40.07
18,MAPT,Microtubule Associated Protein Tau,Protein Coding,P10636,57,GC17P045894,39.87
19,EGFR,Epidermal Growth Factor Receptor,Protein Coding,P00533,62,GC07P055019,39.23
20,IL6,Interleukin 6,Protein Coding,P05231,58,GC07P022725,38.9
21,PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,Protein Coding,Q06124,61,GC12P112418,38.79
22,MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,56,GC10P048306,38.12
23,BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,58,GC18M063123,38.1
24,HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,P07900,58,GC14M102080,38.07
25,CTNNB1,Catenin Beta 1,Protein Coding,P35222,60,GC03P041194,36.55
26,SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,P12931,58,GC20P037344,36.51
27,BRCA1,BRCA1 DNA Repair Associated,Protein Coding,P38398,57,GC17M043044,36.48
28,CD55,CD55 Molecule (Cromer Blood Group),Protein Coding,P08174,56,GC01P207321,36.27
29,PDHX,Pyruvate Dehydrogenase Complex Component X,Protein Coding,O00330,52,GC11P034894,36.26
30,JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,P05412,56,GC01M058780,36.17
31,RAF1,"Raf-1 Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P04049,61,GC03M012583,35.8
32,ATM,ATM Serine/Threonine Kinase,Protein Coding,Q13315,60,GC11P108222,35.76
33,PRKCA,Protein Kinase C Alpha,Protein Coding,P17252,57,GC17P066302,35.58
34,CREBBP,CREB Binding Protein,Protein Coding,Q92793,61,GC16M010660,35.53
35,ALB,Albumin,Protein Coding,P02768,56,GC04P073397,35.43
36,EP300,E1A Binding Protein P300,Protein Coding,Q09472,60,GC22P052546,35.11
37,PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,58,GC10P098516,35.07
38,MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,P01106,59,GC08P127735,35.0
39,MAP2K1,Mitogen-Activated Protein Kinase Kinase 1,Protein Coding,Q02750,61,GC15P066386,34.88
40,MAPK3,Mitogen-Activated Protein Kinase 3,Protein Coding,P27361,56,GC16M040839,34.56
41,VCP,Valosin Containing Protein,Protein Coding,P55072,56,GC09M035056,34.52
42,TTR,Transthyretin,Protein Coding,P02766,55,GC18P031557,34.4
43,HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,P11021,56,GC09M125234,34.05
44,APOE,Apolipoprotein E,Protein Coding,P02649,57,GC19P083472,34.01
45,GRB2,Growth Factor Receptor Bound Protein 2,Protein Coding,P62993,53,GC17M075318,33.98
46,BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,P15056,61,GC07M140751,33.68
47,GFAP,Glial Fibrillary Acidic Protein,Protein Coding,P14136,55,GC17M061018,33.58
48,HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,P11142,56,GC11M123057,33.56
49,HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,P04792,58,GC07P076302,33.27
50,PRKCD,Protein Kinase C Delta,Protein Coding,Q05655,58,GC03P053156,32.99
51,BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,Q07812,57,GC19P048954,32.71
52,PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,O60260,56,GC06M161348,32.68
53,PSEN1,Presenilin 1,Protein Coding,P49768,59,GC14P073136,32.68
54,CETP,Cholesteryl Ester Transfer Protein,Protein Coding,P11597,53,GC16P056961,32.61
55,MDM2,MDM2 Proto-Oncogene,Protein Coding,Q00987,60,GC12P068808,32.58
56,STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,61,GC17M042313,32.47
57,SFTPB,Surfactant Protein B,Protein Coding,P07988,51,GC02M085657,32.37
58,CFTR,CF Transmembrane Conductance Regulator,Protein Coding,P13569,58,GC07P117287,32.28
59,INS,Insulin,Protein Coding,P01308,54,GC11M002159,32.16
60,RPS27A,Ribosomal Protein S27a,Protein Coding,P62979,49,GC02P055231,31.8
61,IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,P17936,53,GC07M045912,31.78
